Artist,Album,Track,Time,day
The Replacements,For Sale: Live at Maxwell's 1986,Left Of The Dial - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:04,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,I'm In Trouble - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 16:00,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,Otto - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 15:57,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,Johnny's Gonna Die - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 15:54,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,Black Diamond - Live at Maxwell's Hoboken NJ 2/4/86,9/5/21 15:17,Sunday
The Replacements,For Sale: Live at Maxwell's 1986,Kiss Me On The Bus - Live at Maxwell's Hoboken NJ 2/4/86,9/4/21 22:46,Saturday
The Replacements,For Sale: Live at Maxwell's 1986,Bastards Of Young - Live at Maxwell's Hoboken NJ 2/4/86,9/4/21 22:42,Saturday
The Replacements,For Sale: Live at Maxwell's 1986,Takin' a Ride - Live at Maxwell's Hoboken NJ 2/4/86,9/4/21 22:39,Saturday
The Replacements,For Sale: Live at Maxwell's 1986,Tommy Gets His Tonsils Out - Live at Maxwell's Hoboken NJ 2/4/86,9/4/21 22:37,Saturday
The Replacements,For Sale: Live at Maxwell's 1986,Can't Hardly Wait - Live at Maxwell's Hoboken NJ 2/4/86,9/4/21 22:34,Saturday
The Replacements,For Sale: Live at Maxwell's 1986,Unsatisfied - Live at Maxwell's Hoboken NJ 2/4/86,9/4/21 22:31,Saturday
The Replacements,For Sale: Live at Maxwell's 1986,Favorite Thing - Live at Maxwell's Hoboken NJ 2/4/86,9/4/21 22:29,Saturday
The Replacements,For Sale: Live at Maxwell's 1986,I Will Dare - Live at Maxwell's Hoboken NJ 2/4/86,9/4/21 22:25,Saturday
The Replacements,For Sale: Live at Maxwell's 1986,Hold My Life - Live at Maxwell's Hoboken NJ 2/4/86,9/4/21 22:20,Saturday
The Replacements,For Sale: Live at Maxwell's 1986,Fox On The Run - Live at Maxwell's Hoboken NJ 2/4/86,9/4/21 22:19,Saturday
The Replacements,For Sale: Live at Maxwell's 1986,Dose Of Thunder - Live at Maxwell's Hoboken NJ 2/4/86,9/4/21 22:16,Saturday
The Replacements,For Sale: Live at Maxwell's 1986,Color Me Impressed - Live at Maxwell's Hoboken NJ 2/4/86,9/4/21 22:14,Saturday
The Replacements,For Sale: Live at Maxwell's 1986,Hayday - Live at Maxwell's Hoboken NJ 2/4/86,9/4/21 22:12,Saturday
The Dopamines,Expect The Worst,Basement,9/4/21 20:23,Saturday
The Dopamines,Expect The Worst,Glendora,9/4/21 20:22,Saturday
The Dopamines,Expect The Worst,Monroe,9/4/21 20:21,Saturday
The Dopamines,Expect The Worst,Dick Simmons,9/4/21 20:19,Saturday
The Dopamines,Expect The Worst,June 4th,9/4/21 20:17,Saturday
The Dopamines,Expect The Worst,October 24th,9/4/21 20:15,Saturday
The Dopamines,Expect The Worst,Straight Papers,9/4/21 20:13,Saturday
The Dopamines,Expect The Worst,Cincinnati Harmony,9/4/21 20:10,Saturday
The Dopamines,Expect The Worst,Night Vision,9/4/21 20:09,Saturday
The Dopamines,Expect The Worst,Public Domain,9/4/21 20:06,Saturday
The Dopamines,Expect The Worst,You'd Make A Good Horsecop,9/4/21 20:04,Saturday
Jawbreaker,Dear You,Sluttering (May 4th),9/3/21 22:30,Friday
Jawbreaker,Dear You,Lurker II: Dark Son Of Night,9/3/21 22:26,Friday
Jawbreaker,Dear You,Million,9/3/21 22:22,Friday
Jawbreaker,Dear You,Oyster,9/3/21 22:19,Friday
Jawbreaker,Dear You,Chemistry,9/3/21 22:15,Friday
Jawbreaker,24 Hour Revenge Therapy (Remastered),In Sadding Around,9/3/21 22:09,Friday
Jawbreaker,24 Hour Revenge Therapy (Remastered),Jinx Removing,9/3/21 22:06,Friday
Jawbreaker,24 Hour Revenge Therapy (Remastered),West Bay Invitational,9/3/21 22:02,Friday
Jawbreaker,24 Hour Revenge Therapy (Remastered),Do You Still Hate Me?,9/3/21 21:59,Friday
Jawbreaker,24 Hour Revenge Therapy (Remastered),Ache,9/3/21 21:55,Friday
Jawbreaker,24 Hour Revenge Therapy (Remastered),Condition Oakland,9/3/21 21:49,Friday
Jawbreaker,24 Hour Revenge Therapy (Remastered),Ashtray Monument,9/3/21 21:46,Friday
Jawbreaker,24 Hour Revenge Therapy (Remastered),Out Patient,9/3/21 21:43,Friday
Jawbreaker,24 Hour Revenge Therapy (Remastered),Boxcar,9/3/21 21:41,Friday
Jawbreaker,24 Hour Revenge Therapy (Remastered),Indictment,9/3/21 21:38,Friday
Jawbreaker,24 Hour Revenge Therapy (Remastered),The Boat Dreams from the Hill,9/3/21 21:35,Friday
Jawbreaker,Dear You,Basilica,9/3/21 21:25,Friday
Jawbreaker,Dear You,Sluttering (May 4th),9/3/21 21:21,Friday
Jawbreaker,Dear You,Bad Scene Everyone's Fault,9/3/21 21:18,Friday
Jawbreaker,Dear You,Jet Black,9/3/21 21:13,Friday
Jawbreaker,Dear You,Lurker II: Dark Son Of Night,9/3/21 21:10,Friday
Jawbreaker,Dear You,Million,9/3/21 21:05,Friday
Jawbreaker,Dear You,Oyster,9/3/21 21:03,Friday
Jawbreaker,Dear You,Chemistry,9/3/21 20:59,Friday
Violent Soho,WACO,Like Soda,9/3/21 15:28,Friday
Violent Soho,WACO,So Sentimental,9/3/21 15:24,Friday
Violent Soho,WACO,Viceroy,9/3/21 15:20,Friday
Violent Soho,WACO,Blanket,9/3/21 15:17,Friday
The Loved Ones,Keep Your Heart,Please Be Here,9/3/21 12:30,Friday
The Loved Ones,Keep Your Heart,Over 50 Club,9/3/21 12:29,Friday
The Loved Ones,Keep Your Heart,Jane,9/3/21 12:26,Friday
The Loved Ones,Keep Your Heart,Breathe In,9/3/21 12:23,Friday
The Loved Ones,Keep Your Heart,Suture Self,9/3/21 12:20,Friday
Violent Soho,WACO,Blanket,9/2/21 22:43,Thursday
Violent Soho,WACO,How To Taste,9/2/21 22:32,Thursday
Violent Soho,WACO,Low,9/2/21 21:59,Thursday
Violent Soho,WACO,Waco,9/2/21 21:55,Thursday
Violent Soho,WACO,Holy Cave,9/2/21 21:52,Thursday
Violent Soho,WACO,Evergreen,9/2/21 21:49,Thursday
Violent Soho,WACO,Slow Wave,9/2/21 21:44,Thursday
Violent Soho,WACO,No Shade,9/2/21 21:40,Thursday
Violent Soho,WACO,Like Soda,9/2/21 21:36,Thursday
Violent Soho,WACO,So Sentimental,9/2/21 21:32,Thursday
Violent Soho,WACO,Viceroy,9/2/21 21:29,Thursday
Violent Soho,WACO,Blanket,9/2/21 21:17,Thursday
Violent Soho,WACO,How To Taste,9/2/21 21:13,Thursday
Children Collide,Theory of Everything,Speed of Sound,9/2/21 14:35,Thursday
Children Collide,Theory of Everything,Complacency No Vacancy,9/2/21 14:32,Thursday
Children Collide,Theory of Everything,Loveless,9/2/21 14:27,Thursday
Children Collide,Theory of Everything,Fashion Fits,9/2/21 14:22,Thursday
Children Collide,Theory of Everything,Arrows,9/2/21 14:19,Thursday
Children Collide,Theory of Everything,My Eagle,9/2/21 14:16,Thursday
Children Collide,Theory of Everything,Asleep On My Feet,9/2/21 14:12,Thursday
Children Collide,Theory of Everything,Jellylegs,9/2/21 14:09,Thursday
Children Collide,Theory of Everything,Future Monks,9/2/21 14:05,Thursday
Violent Soho,WACO,Low,9/2/21 13:59,Thursday
Violent Soho,WACO,Waco,9/2/21 13:55,Thursday
Violent Soho,WACO,Holy Cave,9/2/21 13:52,Thursday
Violent Soho,WACO,Evergreen,9/2/21 13:48,Thursday
Violent Soho,WACO,Slow Wave,9/2/21 13:44,Thursday
Violent Soho,WACO,No Shade,9/2/21 13:11,Thursday
Violent Soho,WACO,Like Soda,9/2/21 13:07,Thursday
Violent Soho,WACO,So Sentimental,9/2/21 13:03,Thursday
Violent Soho,WACO,Viceroy,9/2/21 12:50,Thursday
Violent Soho,WACO,Blanket,9/2/21 12:47,Thursday
Violent Soho,WACO,How To Taste,9/2/21 12:42,Thursday
Violent Soho,WACO,Slow Wave,9/2/21 2:07,Thursday
Violent Soho,WACO,No Shade,9/2/21 2:03,Thursday
Violent Soho,WACO,Like Soda,9/2/21 1:59,Thursday
Violent Soho,WACO,So Sentimental,9/2/21 1:55,Thursday
Violent Soho,WACO,Viceroy,9/2/21 1:52,Thursday
Violent Soho,WACO,Blanket,9/2/21 1:43,Thursday
Violent Soho,WACO,How To Taste,9/1/21 22:27,Wednesday
Lifetime,Somewhere In the Swamps Of Jersey,Somewhere In The Swamps of Jersey,9/1/21 20:58,Wednesday
Jawbreaker,Dear You,Unlisted Track,9/1/21 20:54,Wednesday
Jawbreaker,Dear You,Basilica,9/1/21 20:48,Wednesday
Jawbreaker,Dear You,Sluttering (May 4th),9/1/21 20:44,Wednesday
Green Day,American Idiot (Deluxe),Whatsername,9/1/21 20:39,Wednesday
Green Day,American Idiot (Deluxe),Homecoming,9/1/21 20:30,Wednesday
Green Day,American Idiot (Deluxe),Wake Me Up When September Ends,9/1/21 20:25,Wednesday
Green Day,American Idiot (Deluxe),Extraordinary Girl / Letterbomb,9/1/21 20:17,Wednesday
Green Day,American Idiot (Deluxe),Give Me Novacaine / She's a Rebel,9/1/21 20:12,Wednesday
Green Day,American Idiot (Deluxe),Holiday / Boulevard of Broken Dreams,9/1/21 19:22,Wednesday
Green Day,American Idiot (Deluxe),Jesus of Suburbia,9/1/21 15:41,Wednesday
Green Day,American Idiot (Deluxe),American Idiot,9/1/21 15:38,Wednesday
Jawbreaker,Dear You,Bad Scene Everyone's Fault,8/31/21 22:17,Tuesday
Jawbreaker,Dear You,Jet Black,8/31/21 22:12,Tuesday
Jawbreaker,Dear You,Lurker II: Dark Son Of Night,8/31/21 22:08,Tuesday
Jawbreaker,Dear You,Million,8/31/21 22:04,Tuesday
Jawbreaker,Dear You,Oyster,8/31/21 22:01,Tuesday
Jawbreaker,Dear You,Chemistry,8/31/21 21:57,Tuesday
Dillinger Four,Midwestern Songs of the Americas,Doublewhiskeycokenoice,8/30/21 22:57,Monday
Dillinger Four,Midwestern Songs of the Americas,Portrait Of The Artist As A Fucking Asshole,8/30/21 22:54,Monday
Dillinger Four,Midwestern Songs of the Americas,O.K. F.M. D.O.A.,8/30/21 22:50,Monday
The Dopamines,Expect The Worst,June 4th,8/30/21 20:58,Monday
The Dopamines,Expect The Worst,October 24th,8/30/21 20:55,Monday
The Dopamines,Expect The Worst,Straight Papers,8/30/21 20:54,Monday
The Dopamines,Expect The Worst,Cincinnati Harmony,8/30/21 20:51,Monday
The Dopamines,Expect The Worst,Night Vision,8/30/21 20:49,Monday
The Dopamines,Expect The Worst,You'd Make A Good Horsecop,8/30/21 20:47,Monday
The Dopamines,Vices,Paid in Full,8/30/21 20:44,Monday
The Dopamines,Vices,Don't Mosh the Organ,8/30/21 20:42,Monday
The Dopamines,Vices,You're Ruining My Life,8/30/21 20:39,Monday
The Dopamines,Vices,Heads Up Dusters!,8/30/21 20:37,Monday
The Dopamines,Vices,Useless,8/30/21 20:35,Monday
The Dopamines,Vices,You're So Vain Pt. 2,8/30/21 20:33,Monday
Toys That Kill,Joyce Manor / Toys That Kill Split - EP,TImes We Can't Let Go,8/30/21 12:56,Monday
The Ergs!,Jersey's Best Prancers,Kind of Like Smitten,8/30/21 12:55,Monday
The Copyrights,Report,Heart of Glue,8/30/21 12:53,Monday
The Dopamines,Tales of Interest,Business Papers,8/30/21 12:50,Monday
The Dopamines,The Dopamines,Navigation Point,8/30/21 12:47,Monday
The Dopamines,The Dopamines,Freedumb Like a Credit Card,8/30/21 12:44,Monday
The Dopamines,The Dopamines,Dan Teets Runs a Marathon,8/30/21 12:42,Monday
The Dopamines,The Dopamines,Mark Ruffalo Is Soooo Dreamy and I'm a Nightmare,8/30/21 12:35,Monday
The Dopamines,The Dopamines,A Confession of Obsession With Repression Regression and Depression,8/30/21 12:33,Monday
The Dopamines,The Dopamines,Easy Living,8/30/21 12:32,Monday
The Dopamines,The Dopamines,Cupidity,8/30/21 12:27,Monday
The Dopamines,The Dopamines,Beer Telescope,8/30/21 12:25,Monday
The Dopamines,The Dopamines,The $50000 Cigarette,8/30/21 12:24,Monday
The Dopamines,The Dopamines,Fun Tags,8/30/21 12:22,Monday
The Dopamines,The Dopamines,She's My Rushmore,8/30/21 12:21,Monday
The Dopamines,The Dopamines,The Dispatch,8/30/21 12:19,Monday
The Dopamines,The Dopamines,Molly,8/30/21 12:17,Monday
The Dopamines,The Dopamines,The Satisfaction of Physical Retraction from a Chemical Reaction Attraction,8/30/21 12:16,Monday
The Dopamines,Tales of Interest,Ire,8/30/21 0:13,Monday
The Dopamines,Tales of Interest,The King of Swilling Powers Pt. I II III,8/30/21 0:09,Monday
The Dopamines,Vices,Useless,8/30/21 0:07,Monday
The Dopamines,Expect The Worst,It Really Couldn't Be Any Other,8/30/21 0:05,Monday
The Dopamines,Expect The Worst,Basement,8/30/21 0:03,Monday
The Dopamines,Expect The Worst,Thankyouverymuch,8/30/21 0:01,Monday
The Dopamines,Expect The Worst,Glendora,8/30/21 0:00,Monday
The Dopamines,Expect The Worst,Monroe,8/29/21 23:59,Sunday
The Dopamines,Expect The Worst,Dick Simmons,8/29/21 23:57,Sunday
The Dopamines,Expect The Worst,June 4th,8/29/21 23:54,Sunday
The Dopamines,Expect The Worst,October 24th,8/29/21 23:52,Sunday
The Dopamines,Expect The Worst,Straight Papers,8/29/21 23:50,Sunday
The Dopamines,Expect The Worst,Cincinnati Harmony,8/29/21 23:48,Sunday
The Dopamines,Expect The Worst,Night Vision,8/29/21 23:46,Sunday
The Dopamines,Expect The Worst,Public Domain,8/29/21 23:43,Sunday
The Dopamines,Expect The Worst,You'd Make A Good Horsecop,8/29/21 23:42,Sunday
The Dopamines,Vices,10 Stories,8/29/21 23:39,Sunday
The Dopamines,Vices,Vices,8/29/21 23:36,Sunday
The Dopamines,Vices,More Chords Better Value,8/29/21 23:35,Sunday
The Dopamines,Vices,Kitchen Cleaners,8/29/21 23:34,Sunday
The Dopamines,Vices,Paid in Full,8/29/21 23:32,Sunday
The Dopamines,Vices,Don't Mosh the Organ,8/29/21 23:29,Sunday
The Dopamines,Vices,You're Ruining My Life,8/29/21 23:27,Sunday
The Dopamines,Vices,Heads Up Dusters!,8/29/21 23:24,Sunday
The Dopamines,Vices,Useless,8/29/21 23:22,Sunday
The Dopamines,Vices,You're So Vain Pt. 2,8/29/21 23:20,Sunday
Touché Amoré,Touche Amore,Scene Is to Be Seen,8/29/21 23:20,Sunday
Tears for Fears,Shout: The Very Best Of Tears For Fears,Head Over Heels - Dave Bascombe 7 N.Mix,8/29/21 20:37,Sunday
Lou Reed,Transformer,Satellite of Love,8/29/21 20:33,Sunday
The Stranglers,10,Always The Sun - Sunny Side Up Mix,8/29/21 20:29,Sunday
Touché Amoré,Touche Amore,Scene Is to Be Seen,8/29/21 18:03,Sunday
Touché Amoré,Touche Amore,Hipsterectomy,8/29/21 18:02,Sunday
Touché Amoré,Touche Amore,WeHateFredPhelps.com,8/29/21 18:00,Sunday
Touché Amoré,Touche Amore,Huckleberry,8/29/21 17:59,Sunday
Touché Amoré,Touche Amore,Negotiating The Charade,8/29/21 17:58,Sunday
Altar of Plagues,Teethed Glory and Injury,God Alone,8/29/21 17:53,Sunday
Gouge Away,Burnt Sugar,Stray/Burnt Sugar,8/29/21 15:25,Sunday
Gouge Away,Burnt Sugar,Can't Relate,8/29/21 15:24,Sunday
Gouge Away,Burnt Sugar,Dis s o c i a t i o n,8/29/21 15:22,Sunday
Gouge Away,Burnt Sugar,Ghost,8/29/21 15:18,Sunday
Gouge Away,Burnt Sugar,Subtle Thrill,8/29/21 15:16,Sunday
Gouge Away,Burnt Sugar,Hey Mercy,8/29/21 15:14,Sunday
Gouge Away,Burnt Sugar,Slow Drown,8/29/21 15:12,Sunday
Gouge Away,Burnt Sugar,Fed Up,8/29/21 15:10,Sunday
Gouge Away,Burnt Sugar,Only Friend,8/29/21 15:09,Sunday
Latterman,No Matter Where We Go..!,I Wish Branca Was Here,8/29/21 2:13,Sunday
Latterman,No Matter Where We Go..!,We're Done For!,8/28/21 23:30,Saturday
Latterman,No Matter Where We Go..!,Zombies Are Pissed,8/28/21 23:27,Saturday
Latterman,No Matter Where We Go..!,Video Games And Fantasy Novels Are Fucking Awesome!,8/28/21 23:24,Saturday
